URL,Loại BDS,Tiêu đề,Mức giá (triệu/m²),Địa chỉ chi tiết,Mức giá (triệu),Mức giá (Tỷ),Diện tích (m²),Số phòng ngủ,"Số phòng tắm, vệ sinh",Giấy tờ pháp lý,Nội thất (Cơ bản/ Đầy đủ/0),Số tầng,Mặt tiền (m),Đường vào (m),Hướng nhà,Hướng ban công,Xã/Phường,Quận/Huyện,"Địa chỉ (P,Q,TP)",Latitude,Longitude,Date
https://batdongsan.com.vn/ban-dat-duong-tran-thai-tong-phuong-dich-vong-hau/ban-mat-tien-3270m2-full-tho-cu-sieu-pham-quan-cau-giay-gia-960ty-pr40958958,Đất,"Bán đất mặt tiền đường Trần Thái Tông 3269m2 full thổ cư, siêu phẩm quận Cầu Giấy giá chỉ 959tỷ",293.3618844,"Đường Trần Thái Tông, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",959000.0,959.0,3269.0,,,Có,Không có,,8.304324494949494,7.652945472249271,,,Phường Dịch Vọng Hậu,Cầu Giấy,"Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",21.0388103,105.7818897,2025-03-17
https://batdongsan.com.vn/ban-dat-duong-tran-thai-tong-phuong-dich-vong-hau/ban-mat-pho-dt-3270m2-x-mt-70m-x-gia-dau-tu-910-ty-pr41927430,Đất,"Bán đất mặt phố Trần Thái Tông, dt 3270m2 x mt 70m x giá đầu tư 910 tỷ",278.2874618,"Đường Trần Thái Tông, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",910000.0,910.0,3270.0,,,Có,Không có,,70.0,60.0,,,Phường Dịch Vọng Hậu,Cầu Giấy,"Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",21.0388103,105.7818897,2025-03-20
https://batdongsan.com.vn/ban-dat-nen-du-an-phuong-yen-hoa-2-prj-khu-do-thi-trung-yen/b-xay-toa-nha-29-tg-kdt-gia-t-thu-5048m2-cau-giay-ha-noi-pr42198647,Đất nền dự án,"Bán đất nền dự án xây toà nhà 29 tầng KĐT Trung Yên, giá 750 tỷ, 5048m2 Yên Hòa Cầu Giấy Hà Nội",148.5736926,"Dự án KĐT Trung Yên, Phường Yên Hòa, Cầu Giấy, Hà Nội",750000.0,750.0,5048.0,,,Có,Không có,,120.0,14.8,,,Phường Yên Hòa,Cầu Giấy,"Phường Yên Hòa, Cầu Giấy, Hà Nội",21.0249276,105.7870777,2025-03-21
https://batdongsan.com.vn/ban-dat-duong-quang-trung-phuong-quang-trung-17/can-ban-11324-m-mat-pho-ha-dong-ha-noi-pr42482783,Đất,Cần bán 11324 m2 đất mặt phố Quang Trung - Hà Đông - Hà Nội,50.33557047,"Đường Quang Trung, Phường Quang Trung, Hà Đông, Hà Nội",570000.0,570.0,11324.0,,,Có,Không có,,220.0,15.4,,,Phường Quang Trung,Hà Đông,"Phường Quang Trung, Hà Đông, Hà Nội",20.9706711,105.7754762,2025-03-20
https://batdongsan.com.vn/ban-dat-pho-quang-khanh-phuong-quang-an-2/ban-full-tho-cu-mat-750-m2-mt-40-m-view-truc-dien-ho-tay-vo-cung-dang-cap-pr40264983,Đất,"Bán đất full thổ cư mặt phố Quảng Khánh, 750 m2, MT 40 m. View trực diện Hồ Tây vô cùng đẳng cấp",580.0,"Phố Quảng Khánh, Phường Quảng An, Tây Hồ, Hà Nội",435000.0,435.0,750.0,,,Có,Không có,,40.0,8.8,,,Phường Quảng An,Tây Hồ,"Phường Quảng An, Tây Hồ, Hà Nội",21.0639841,105.8277707,2025-03-26
https://batdongsan.com.vn/ban-dat-duong-le-duc-tho-phuong-mai-dich/ban-tai-mat-pho-cau-giay-ha-noi-pr42490355,Đất,"Bán đất tại mặt phố Lê Đức Thọ, Phường Mai Dịch, Cầu Giấy, Hà Nội",276.3157895,"Đường Lê Đức Thọ, Phường Mai Dịch, Cầu Giấy, Hà Nội",420000.0,420.0,1520.0,,,Không có,Không có,,60.0,6.6,,,Phường Mai Dịch,Cầu Giấy,"Phường Mai Dịch, Cầu Giấy, Hà Nội",21.0366695,105.7801355,2025-03-20
https://batdongsan.com.vn/ban-dat-duong-le-duc-tho-phuong-my-dinh-2/ban-sieu-vip-mat-1-520m2-lo-goc-3-mat-ang-vinh-vien-420ty-pr41165037,Đất,Bán đất siêu vip mặt đường Lê Đức Thọ 1518.9m2 lô góc 3 mặt thoáng vĩnh viễn 418.9tỷ,275.7916914,"Đường Lê Đức Thọ, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",418900.0,418.9,1518.9,,,Không có,Không có,,61.0,5.2,,,Phường Mỹ Đình 2,Nam Từ Liêm,"Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",21.0343267,105.7689424,2025-03-19
https://batdongsan.com.vn/ban-dat-duong-le-duc-tho-phuong-my-dinh-2/ban-vang-so-do-lau-dai-mat-pho-dt-1550m-lo-goc-3-mat-gia-390-ty-pr36004464,Đất,"Bán đất vàng sổ đỏ lâu dài, mặt phố Lê Đức Thọ, DT 1520m2, lô góc 3 mặt, giá 400 tỷ",263.1578947,"Đường Lê Đức Thọ, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",400000.0,400.0,1520.0,,,Không có,Không có,,8.304324494949494,7.652945472249271,,,Phường Mỹ Đình 2,Nam Từ Liêm,"Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",21.0343267,105.7689424,2025-03-28
https://batdongsan.com.vn/ban-dat-duong-tran-duy-hung-phuong-trung-hoa-4/chinh-chu-can-ban-lo-mat-tien-pho-quan-cau-giay-1146m2-gia-chao-399-ty-pr42462813,Đất,Chính chủ cần bán lô đất mặt tiền phố Trần Duy Hưng quận Cầu Giấy 1146m2*giá chào 399 tỷ,348.1675393,"Đường Trần Duy Hưng, Phường Trung Hòa, Cầu Giấy, Hà Nội",399000.0,399.0,1146.0,,,Có,Không có,,8.304324494949494,7.652945472249271,,,Phường Trung Hòa,Cầu Giấy,"Phường Trung Hòa, Cầu Giấy, Hà Nội",21.0070061,105.798248,2025-03-29
https://batdongsan.com.vn/ban-dat-phuong-mai-dich/ban-mat-pho-quan-cau-giay-san-gpxd-23-tang-tuong-lai-2-mat-pho-2-760m2-mat-tien-85m-320-ty-pr40864456,Đất,"Bán đất mặt phố quận Cầu Giấy, sẵn GPXD 23 tầng, tương lai 2 mặt phố, 2.760m2, mặt tiền 85m, 320 tỷ",115.942029,"Phường Mai Dịch, Cầu Giấy, Hà Nội",320000.0,320.0,2760.0,,,Có,Không có,,85.0,7.8,,,Phường Mai Dịch,Cầu Giấy,"Phường Mai Dịch, Cầu Giấy, Hà Nội",21.0366695,105.7801355,2025-03-20
https://batdongsan.com.vn/ban-dat-pho-quang-khanh-phuong-quang-an-2/ban-manh-sieu-hiem-tay-ho-ha-noi-343-m2-mt-12-m-287-ty-pr41489107,Đất,Lô góc siêu hiếm độc nhất vô nhị view Hồ Tây lộng gió mặt phố Quảng Khánh 343m2 MT 12m 287tỷ Tây Hồ,836.7346939,"Phố Quảng Khánh, Phường Quảng An, Tây Hồ, Hà Nội",287000.0,287.0,343.0,,,Có,Không có,,12.0,9.2,,,Phường Quảng An,Tây Hồ,"Phường Quảng An, Tây Hồ, Hà Nội",21.0639841,105.8277707,2025-03-21
